source,category,overall_niche_grade,rank_within_category,total_ranked,ncessch,ceeb,name,abbrev,short_name,location,city,state_code,latitude,longitude,grade_level,num_students,student_teacher_ratio,character,genus,tagline_category,tagline_location,guid,url,district_name,district_abbrev,district_short_name,district_location,district_city,district_state_code,district_tagline_location,district_url,niche_review_count,niche_review_average
traditional,,3,,,180018000048,150090,Argos Community Junior/Senior High School,Argos Community Junior/Senior High School,Argos Community Junior/Senior High School,"Argos, IN",Argos,IN,41.240006,-86.249319,7-12,308,14,Public,Public School,,"Argos Community Schools, IN",f1018562-25bb-439d-aebd-409630030fa6,argos-community-junior-senior-high-school-argos-in,Argos Community Schools,Argos Community Schools,Argos Community Schools,"Argos, IN",Argos,IN,"Argos, IN",argos-community-schools-in,54,3.814814814814815
traditional,,3,,,483030003394,444685,Meridian High School,Meridian High School,Meridian High School,"Meridian, TX",Meridian,TX,31.927,-97.6535,6-12,238,9,Public,Public School,,"Meridian Independent School District, TX",7defacfc-26f8-4e00-92ab-8249b7903cf5,meridian-high-school-meridian-tx,Meridian Independent School District,Meridian Independent School District,Meridian Independent School District,"Meridian, TX",Meridian,TX,"Meridian, TX",meridian-independent-school-district-tx,26,3.6538461538461537
traditional,,3,,,390493503568,362930,Leipsic High School,Leipsic High School,Leipsic High School,"Leipsic, OH",Leipsic,OH,41.098137,-83.995189,7-12,327,14,Public,Public School,,"Leipsic Local School District, OH",5d7f62ce-bf9e-4d95-b288-89a3818cbf79,leipsic-high-school-leipsic-oh,Leipsic Local School District,Leipsic Local School District,Leipsic Local School District,"Leipsic, OH",Leipsic,OH,"Leipsic, OH",leipsic-local-school-district-oh,43,4.1395348837209305
traditional,,3,,,461812000165,420325,Dell Rapids High School,Dell Rapids High School,Dell Rapids High School,"Dell Rapids, SD",Dell Rapids,SD,43.831668,-96.7066,9-12,298,15,Public,Public School,,"Dell Rapids School District, SD",b6693c19-fe25-4786-88f3-f9f845adf3a1,dell-rapids-high-school-dell-rapids-sd,Dell Rapids School District,Dell Rapids School District,Dell Rapids School District,"Dell Rapids, SD",Dell Rapids,SD,"Dell Rapids, SD",dell-rapids-school-district-sd,56,3.75
traditional,,3,,,481206000703,440990,Bullard High School,Bullard High School,Bullard High School,"Bullard, TX",Bullard,TX,32.135804,-95.317247,9-12,808,13,Public,Public School,,"Bullard Independent School District, TX",3fbf947a-c536-421d-9e44-64f6020ef0bf,bullard-high-school-bullard-tx,Bullard Independent School District,Bullard Independent School District,Bullard Independent School District,"Bullard, TX",Bullard,TX,"Bullard, TX",bullard-independent-school-district-tx,86,3.813953488372093
traditional,,3,,,483471003896,445480,Petrolia Junior High/High School,Petrolia Junior High/High School,Petrolia Junior High/High School,"Petrolia, TX",Petrolia,TX,34.016352,-98.236807,7-12,199,8,Public,Public School,,"Petrolia Consolidated Independent School District, TX",f8cc041d-25c9-4d74-a58e-50eea0c5e32c,petrolia-junior-high-high-school-petrolia-tx,Petrolia Consolidated Independent School District,Petrolia Consolidated Independent School District,Petrolia Consolidated Independent School District,"Petrolia, TX",Petrolia,TX,"Petrolia, TX",petrolia-consolidated-independent-school-district-tx,9,3.888888888888889
traditional,,3,,,080528000871,060920,Limon Junior/Senior High School,Limon Junior-Senior High School,Limon Junior-Senior High School,"Limon, CO",Limon,CO,39.269116,-103.689357,6-12,268,18,Public,Public School,,"Limon School District No. RE-4J, CO",12746c9e-6657-4175-a3be-16035302c2bd,limon-junior-senior-high-school-limon-co,Limon School District No. RE-4J,Limon School District No. RE-4J,Limon School District No. RE-4J,"Limon, CO",Limon,CO,"Limon, CO",limon-school-district-no-re-4j-co,60,3.5833333333333335
traditional,,3,,,271101000452,240785,Dover-Eyota High School,Dover-Eyota High School,Dover-Eyota High School,"Eyota, MN",Eyota,MN,44.085519,-92.526279,9-12,325,15,Public,Public School,,"Dover-Eyota Public School District, MN",bc8e0e35-2152-4122-aec6-ec6b82cc3474,dover-eyota-high-school-eyota-mn,Dover-Eyota Public School District,Dover-Eyota Public School District,Dover-Eyota Public School District,"Eyota, MN",Eyota,MN,"Eyota, MN",dover-eyota-public-school-district-mn,21,3.619047619047619
traditional,,3,,,120108002565,100217,Mariner High School,Mariner High School,Mariner High School,"Cape Coral, FL",Cape Coral,FL,26.643092,-82.007131,9-12,1557,20,Public,Public School,,"Lee County Public Schools, FL",41ef98b8-859d-44b0-bf30-4d56699680e1,mariner-high-school-cape-coral-fl,Lee County Public Schools,Lee County Public Schools,Lee County Public Schools,"Fort Myers, FL",Fort Myers,FL,"Fort Myers, FL",lee-county-public-schools-fl,341,3.806451612903226
traditional,,3,,,192316001369,163555,Pleasantville High School,Pleasantville High School,Pleasantville High School,"Pleasantville, IA",Pleasantville,IA,41.388264,-93.271735,9-12,245,12,Public,Public School,,"Pleasantville Community School District, IA",4421582c-47aa-4b93-8c78-516d017fbe2f,pleasantville-high-school-pleasantville-ia,Pleasantville Community School District,Pleasantville Community School District,Pleasantville Community School District,"Pleasantville, IA",Pleasantville,IA,"Pleasantville, IA",pleasantville-community-school-district-ia,38,3.6315789473684212
