source,category,overall_niche_grade,rank_within_category,total_ranked,ncessch,ceeb,name,abbrev,short_name,location,city,state_code,latitude,longitude,grade_level,num_students,student_teacher_ratio,character,genus,tagline_category,tagline_location,guid,url,district_name,district_abbrev,district_short_name,district_location,district_city,district_state_code,district_tagline_location,district_url,niche_review_count,niche_review_average
traditional,Best Public High Schools in America,4.33,4,19314,360007702877,334070,Stuyvesant High School,Stuyvesant High School,Stuyvesant High School,"New York, NY",New York,NY,40.7178,-74.0138,9-12,3319,21,Public,Public School,,"New York City Geographic District No. 2, NY",1df12ce0-d223-431e-8365-a3804a5eec2d,stuyvesant-high-school-new-york-ny,New York City Geographic District No. 2,New York City Geographic District No. 2,New York City Geographic District No. 2,"New York, NY",New York,NY,"New York, NY",new-york-city-geographic-district-no-2-ny,1023,4.067448680351906
traditional,Best Public High Schools in America,4.33,6,19314,280119401201,251409,The Mississippi School for Mathematics and Science,The Mississippi School for Mathematics and Science,MSMS,"Columbus, MS",Columbus,MS,33.49342,-88.431709,11-12,238,11,Public,Therapeutic School,Public School,"Columbus, MS",275763a9-b768-4686-a433-40ca60aba2f6,the-mississippi-school-for-mathematics-and-science-columbus-ms,,,,,,,,,164,4.579268292682927
traditional,Best Public High Schools in America,4.33,7,19314,341750006095,310694,High Technology High School,High Technology High School,High Technology High School,"Lincroft, NJ",Lincroft,NJ,40.331728,-74.130672,9-12,286,12,Public,Public School,,"Monmouth County Vocational School District, NJ",36cff9cb-f4a0-40a0-89f7-a20c8a579c2f,high-technology-high-school-lincroft-nj,Monmouth County Vocational School District,Monmouth County Vocational School District,Monmouth County Vocational School District,"Freehold, NJ",Freehold,NJ,"Freehold, NJ",monmouth-county-vocational-school-district-nj,91,3.923076923076923
traditional,Best Public High Schools in America,4.33,13,19314,130255003553,111140,"Gwinnett School of Mathematics, Science & Technology","Gwinnett School of Mathematics, Science & Technology",GSMST,"Lawrenceville, GA",Lawrenceville,GA,33.95268,-84.059818,9-12,1098,17,Public,Public School,,"Gwinnett County Public Schools, GA",a248e271-7f7d-4759-b926-1f9b844d8184,gwinnett-school-of-mathematics-science--and--technology-lawrenceville-ga,Gwinnett County Public Schools,Gwinnett County Public Schools,Gwinnett County Public Schools,"Suwanee, GA",Suwanee,GA,"Suwanee, GA",gwinnett-county-public-schools-ga,446,4.190582959641255
traditional,Best Public High Schools in America,4.33,14,19314,173258003385,143550,Adlai E. Stevenson High School,Adlai E. Stevenson High School,SHS,"Lincolnshire, IL",Lincolnshire,IL,42.196334,-87.94567,9-12,4261,15,Public,Public School,Public School,"Lincolnshire, IL",819ecabf-f590-4950-ac90-7ac488bd6ea9,adlai-e-stevenson-high-school-lincolnshire-il,,,,,,,,,1220,4.2647540983606556
traditional,Best Public High Schools in America,4.33,15,19314,360010304186,335401,Staten Island Technical High School,Staten Island Technical High School,Staten Island Tech,"Staten Island, NY",Staten Island,NY,40.567934,-74.115355,9-12,1332,21,Public,Public School,,"New York City Geographic District No. 31, NY",db3db0d2-1ce5-42d5-9148-aaf9f4c8ee59,staten-island-technical-high-school-staten-island-ny,New York City Geographic District No. 31,New York City Geographic District No. 31,New York City Geographic District No. 31,"Staten Island, NY",Staten Island,NY,"Staten Island, NY",new-york-city-geographic-district-no-31-ny,679,4.3181148748159055
traditional,Best Public High Schools in America,4.33,19,19314,360012204485,331934,Townsend Harris High School,Townsend Harris High School,Townsend Harris High School,"Flushing, NY",Flushing,NY,40.734482,-73.821685,9-12,1183,21,Public,Public School,,"New York City Geographic District No. 25, NY",b6a1972c-7588-4526-a1cd-fecc15de687f,townsend-harris-high-school-flushing-ny,New York City Geographic District No. 25,New York City Geographic District No. 25,New York City Geographic District No. 25,"Flushing, NY",Flushing,NY,"Flushing, NY",new-york-city-geographic-district-no-25-ny,612,4.176470588235294
traditional,Best Public High Schools in America,4.33,21,19314,360008701922,333480,Bronx High School of Science,Bronx High School of Science,Bronx Science,"Bronx, NY",Bronx,NY,40.877674,-73.890716,9-12,3020,21,Public,Public School,,"New York City Geographic District No. 10, NY",dcbb96ae-b2c1-4c3f-9bda-d3f20fa6d06d,bronx-high-school-of-science-bronx-ny,New York City Geographic District No. 10,New York City Geographic District No. 10,New York City Geographic District No. 10,"Bronx, NY",Bronx,NY,"Bronx, NY",new-york-city-geographic-district-no-10-ny,905,3.8187845303867403
traditional,Best Public High Schools in America,4.33,24,19314,341750006121,310904,Biotechnology High School,Biotechnology High School,Biotechnology High School,"Freehold, NJ",Freehold,NJ,40.269447,-74.244671,9-12,317,12,Public,Public School,,"Monmouth County Vocational School District, NJ",c3a2e788-b667-4312-9393-19bced0537b7,biotechnology-high-school-freehold-nj,Monmouth County Vocational School District,Monmouth County Vocational School District,Monmouth County Vocational School District,"Freehold, NJ",Freehold,NJ,"Freehold, NJ",monmouth-county-vocational-school-district-nj,111,4
traditional,Best Public High Schools in America,4.33,25,19314,450390701579,410997,South Carolina Governor's School for Science & Mathematics,Governor's School for Science & Mathematics,GSSM,"Hartsville, SC",Hartsville,SC,34.374169,-80.064514,11-12,280,13,Public,Public School,Public School,"Hartsville, SC",42d85f54-dec8-4a06-9198-27e781b745b0,south-carolina-governors-school-for-science--and--mathematics-hartsville-sc,,,,,,,,,118,4.220338983050848
