source,category,overall_niche_grade,rank_within_category,total_ranked,ncessch,ceeb,name,abbrev,short_name,location,city,state_code,latitude,longitude,grade_level,num_students,student_teacher_ratio,character,genus,tagline_category,tagline_location,guid,url,district_name,district_abbrev,district_short_name,district_location,district_city,district_state_code,district_tagline_location,district_url,niche_review_count,niche_review_average
traditional,,2.66,,,530282002638,480402,Internet Academy,Internet Academy,Internet Academy,"Federal Way, WA",Federal Way,WA,47.319655,-122.297599,"PK, K-12",243,18,"Public, Online, Alternative",Online School,Online School,"Federal Way Public Schools, WA",5c47aed2-a417-40b5-9431-061484b57053,internet-academy-federal-way-wa,Federal Way Public Schools,Federal Way Public Schools,Federal Way Public Schools,"Federal Way, WA",Federal Way,WA,"Federal Way, WA",federal-way-public-schools-wa,17,4.705882352941177
traditional,,2.66,,,171575001885,141950,Franklin Junior/Senior High School,Franklin Junior/Senior High School,Franklin Junior/Senior High School,"Franklin, IL",Franklin,IL,39.62269,-90.047384,3-12,217,9,Public,Public School,,"Franklin Community Unit School District No. 1, IL",ffdd0c50-7ca7-4211-8bf9-d64f5b298600,franklin-junior-senior-high-school-franklin-il,Franklin Community Unit School District No. 1,Franklin Community Unit School District No. 1,Franklin Community Unit School District No. 1,"Franklin, IL",Franklin,IL,"Franklin, IL",franklin-community-unit-school-district-no-1-il,6,4.333333333333333
traditional,,2.66,,,130228001958,110061,Independence High School,Independence High School,Independence High School,"Roswell, GA",Roswell,GA,34.077318,-84.298245,9-12,211,12,"Public, Alternative",Public School,,"Fulton County Schools, GA",66efa096-0e30-4e13-836c-7e4f54f2fb1d,independence-high-school-roswell-ga,Fulton County Schools,Fulton County Schools,Fulton County Schools,"Atlanta, GA",Atlanta,GA,"Atlanta, GA",fulton-county-schools-ga,24,3.7083333333333335
traditional,,2.66,,,362097002978,334195,North Collins Junior/Senior High School,North Collins Junior/Senior High School,North Collins Junior/Senior High School,"North Collins, NY",North Collins,NY,42.598537,-78.939288,7-12,272,12,Public,Public School,,"North Collins Central School District, NY",39744e04-4635-4065-b03c-774dd9fba879,north-collins-junior-senior-high-school-north-collins-ny,North Collins Central School District,North Collins Central School District,North Collins Central School District,"North Collins, NY",North Collins,NY,"North Collins, NY",north-collins-central-school-district-ny,27,3.185185185185185
traditional,,2.66,,,192013001193,163085,Muscatine High School,Muscatine High School,Muscatine High School,"Muscatine, IA",Muscatine,IA,41.435984,-91.071523,9-12,1471,15,Public,Public School,,"Muscatine Community School District, IA",f906c572-fb6b-4ce1-a674-023d761dba5b,muscatine-high-school-muscatine-ia,Muscatine Community School District,Muscatine Community School District,Muscatine Community School District,"Muscatine, IA",Muscatine,IA,"Muscatine, IA",muscatine-community-school-district-ia,140,3.4357142857142855
traditional,,2.66,,,470096001245,431855,Riverside High School,Riverside High School,Riverside High School,"Decaturville, TN",Decaturville,TN,35.576909,-88.131144,9-12,512,16,Public,Public School,,"Decatur County School District, TN",08164f62-aed2-4b93-be6b-729418affdf1,riverside-high-school-decaturville-tn,Decatur County School District,Decatur County School District,Decatur County School District,"Decaturville, TN",Decaturville,TN,"Decaturville, TN",decatur-county-school-district-tn,22,3.5454545454545454
traditional,,2.66,,,540084000674,490115,Bluefield High School,Bluefield High School,Bluefield High School,"Bluefield, WV",Bluefield,WV,37.249771,-81.21577,9-12,609,16,Public,Public School,,"Mercer County Schools, WV",59173ea4-989a-42ba-830d-d3a4c4c9b99f,bluefield-high-school-bluefield-wv,Mercer County Schools,Mercer County Schools,Mercer County Schools,"Princeton, WV",Princeton,WV,"Princeton, WV",mercer-county-schools-wv,42,3.9761904761904763
traditional,,2.66,,,271428003187,241808,Minnesota Virtual Academy,Minnesota Virtual Academy,Minnesota Virtual Academy,"Houston, MN",Houston,MN,43.760149,-91.569553,K-12,1525,21,"Public, Online",Online School,Online School,"Houston Public School District, MN",cff66c8f-25b9-4835-88fe-f0c3691f7e7f,minnesota-virtual-academy-houston-mn,Houston Public School District,Houston Public School District,Houston Public School District,"Houston, MN",Houston,MN,"Houston, MN",houston-public-school-district-mn,56,4.142857142857143
traditional,,2.66,,,080336001955,060380,Denver Online High School,Denver Online High School,Denver Online High School,"Denver, CO",Denver,CO,39.774745,-105.009899,9-12,269,21,"Public, Online",Online School,Online School,"Denver Public Schools, CO",e90e2ff6-a02f-486b-910c-5c1ac7849180,denver-online-high-school-denver-co,Denver Public Schools,Denver Public Schools,Denver Public Schools,"Denver, CO",Denver,CO,"Denver, CO",denver-public-schools-co,39,4.641025641025641
traditional,,2.66,,,470014502138,,Tennessee School for the Blind,Tennessee School for the Blind,Tennessee School for the Blind,"Nashville, TN",Nashville,TN,36.167082,-86.656082,"PK, K-12",125,2,Public,Public School,Public School,"Nashville, TN",acc82054-27f8-484d-a952-33566cbaf476,tennessee-school-for-the-blind-nashville-tn,,,,,,,,,2,3.5
